dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000725,0.750000,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,0.000627,0.750000,0.000753,0.004903,-3.029462,-315.203843,6.282350
0.020000,0.000430,0.750000,0.000949,0.009810,0.245346,163.740397,6.282611
0.020000,0.000136,0.750000,0.001244,0.014725,0.245732,0.019284,6.283004
0.020000,0.006597,0.750001,0.007705,0.323048,15.416144,758.520587,0.000343
0.020000,0.019201,0.750010,0.020309,0.630207,15.357950,-2.909671,0.000999
0.020000,0.034329,0.750031,0.035437,0.756393,6.309316,-452.431710,0.001788
0.020000,0.051975,0.750070,0.053083,0.882295,6.295124,-0.709594,0.002711
0.020000,0.072138,0.750136,0.073246,1.008187,6.294603,-0.026080,0.003769
0.020000,0.094818,0.750235,0.095927,1.134012,6.291253,-0.167503,0.004964
0.020000,0.120017,0.750377,0.121126,1.259959,6.297310,0.302872,0.006296
0.020000,0.147730,0.750571,0.148839,1.385663,6.285233,-0.603828,0.007767
0.020000,0.177956,0.750831,0.179066,1.511349,6.284307,-0.046305,0.009380
0.020000,0.210691,0.751166,0.211803,1.636877,6.276392,-0.395770,0.011135
0.020000,0.245940,0.751592,0.247055,1.762558,6.284012,0.380995,0.013036
0.020000,0.283696,0.752123,0.284814,1.887964,6.270300,-0.685605,0.015084
0.020000,0.323956,0.752775,0.325079,2.013265,6.265075,-0.261247,0.017282
0.020000,0.366721,0.753564,0.367852,2.138656,6.269526,0.222578,0.019633
0.020000,0.411986,0.754510,0.413127,2.263727,6.253557,-0.798466,0.022140
0.020000,0.459747,0.755631,0.460901,2.388708,6.249042,-0.225754,0.024806
0.020000,0.510002,0.756949,0.511173,2.513594,6.244314,-0.236411,0.027634
0.020000,0.562748,0.758486,0.563942,2.638435,6.242085,-0.111458,0.030629
0.020000,0.617979,0.760265,0.619202,2.763002,6.228327,-0.687896,0.033793
0.020000,0.675692,0.762312,0.676950,2.887423,6.221060,-0.363358,0.037132
0.020000,0.735880,0.764654,0.737184,3.011706,6.214130,-0.346482,0.040649
0.020000,0.798542,0.767319,0.799903,3.135931,6.211266,-0.143206,0.044349
0.020000,0.863666,0.770335,0.865096,3.259683,6.187570,-1.184797,0.048238
0.020000,0.931252,0.773736,0.932768,3.383557,6.193743,0.308642,0.052320
0.020000,1.001288,0.777554,1.002908,3.507032,6.173746,-0.999819,0.056601
0.020000,1.073768,0.781823,1.075514,3.630293,6.163017,-0.536446,0.061088
0.020000,1.148684,0.786582,1.150580,3.753308,6.150785,-0.611612,0.065787
0.020000,1.226026,0.791868,1.228103,3.876122,6.140706,-0.503932,0.070703
0.020000,1.305786,0.797722,1.308077,3.998718,6.129762,-0.547213,0.075846
0.020000,1.387949,0.804188,1.390495,4.120897,6.108945,-1.040854,0.081221
0.020000,1.472506,0.811309,1.475351,4.242807,6.095525,-0.671026,0.086837
0.020000,1.559444,0.819134,1.562641,4.364483,6.083789,-0.586803,0.092703
0.020000,1.648750,0.827712,1.652358,4.485834,6.067576,-0.810609,0.098827
0.020000,1.740407,0.837095,1.744493,4.606771,6.046821,-1.037759,0.105219
0.020000,1.834394,0.847337,1.839037,4.727207,6.021810,-1.250580,0.111888
0.020000,1.930702,0.858496,1.935989,4.847580,6.018624,-0.159272,0.118845
0.020000,2.029303,0.870632,2.035334,4.967271,5.984585,-1.701972,0.126102
0.020000,2.130178,0.883807,2.137066,5.086593,5.966073,-0.925571,0.133669
0.020000,2.233303,0.898087,2.241175,5.205447,5.942717,-1.167794,0.141558
0.020000,2.338652,0.913541,2.347651,5.323830,5.919124,-1.179660,0.149784
0.020000,2.446199,0.930242,2.456487,5.441790,5.898033,-1.054563,0.158359
0.020000,2.555911,0.948264,2.567670,5.559124,5.866686,-1.567360,0.167297
0.020000,2.667755,0.967686,2.681188,5.675906,5.839130,-1.377806,0.176613
0.020000,2.781696,0.988591,2.797030,5.792121,5.810718,-1.420588,0.186323
0.020000,2.897692,1.011063,2.915183,5.907652,5.776535,-1.709136,0.196443
0.020000,3.015706,1.035195,3.035639,6.022786,5.756727,-0.990401,0.206990
0.020000,3.135686,1.061077,3.158379,6.137003,5.710854,-2.293664,0.217982
0.020000,3.257584,1.088808,3.283392,6.250633,5.681490,-1.468199,0.229436
0.020000,3.381346,1.118489,3.410663,6.363552,5.645941,-1.777434,0.241373
0.020000,3.506910,1.150226,3.540176,6.475642,5.604492,-2.072447,0.253811
0.020000,3.634217,1.184128,3.671920,6.587203,5.578082,-1.320533,0.266770
0.020000,3.763194,1.220309,3.805875,6.697782,5.528942,-2.456974,0.280272
0.020000,3.893767,1.258887,3.942028,6.807626,5.492218,-1.836196,0.294338
0.020000,4.025854,1.299983,4.080360,6.916626,5.449956,-2.113092,0.308987
0.020000,4.159372,1.343723,4.220861,7.025008,5.419102,-1.542715,0.324243
0.020000,4.294223,1.390238,4.363508,7.132395,5.369360,-2.487107,0.340126
0.020000,4.430308,1.439659,4.508290,7.239071,5.333806,-1.777704,0.356658
0.020000,4.567519,1.492125,4.655189,7.344956,5.294235,-1.978560,0.373857
0.020000,4.705739,1.547776,4.804192,7.450162,5.260316,-1.695923,0.391745
0.020000,4.844846,1.606754,4.955285,7.554624,5.223113,-1.860162,0.410339
0.020000,4.984707,1.669205,5.108455,7.658537,5.195634,-1.373952,0.429655
0.020000,5.125182,1.735276,5.263693,7.761887,5.167503,-1.406547,0.449709
0.020000,5.266122,1.805117,5.420988,7.864758,5.143558,-1.197259,0.470510
0.020000,5.407370,1.878877,5.580336,7.967373,5.130737,-0.641020,0.492068
0.020000,5.548762,1.956706,5.741733,8.069845,5.123601,-0.356838,0.514386
0.020000,5.690123,2.038753,5.905179,8.172318,5.123641,0.002017,0.537465
0.020000,5.831272,2.125164,6.070677,8.274918,5.130030,0.319459,0.561299
0.020000,5.972019,2.216086,6.238238,8.378045,5.156329,1.314948,0.585877
0.020000,6.112170,2.311658,6.407874,8.481780,5.186771,1.522115,0.611180
0.020000,6.251521,2.412019,6.579604,8.586498,5.235889,2.455887,0.637184
0.020000,6.389866,2.517297,6.753451,8.692355,5.292852,2.848126,0.663857
0.020000,6.526993,2.627617,6.929446,8.799770,5.370741,3.894491,0.691158
0.020000,6.662687,2.743094,7.107625,8.908944,5.458681,4.396956,0.719041
0.020000,6.796730,2.863834,7.288029,9.020206,5.563106,5.221263,0.747449
0.020000,6.928486,2.989522,7.470121,9.104566,4.218030,-67.253765,0.776226
0.020000,7.056775,3.119166,7.652509,9.119424,0.742870,-173.758011,0.805077
0.020000,7.180540,3.251646,7.833806,9.064862,-2.728079,-173.547474,0.833700
0.020000,7.299207,3.386134,8.013163,8.967826,-4.851787,-106.185410,0.861888
0.020000,7.412659,3.522184,8.190310,8.857332,-5.524730,-33.647148,0.889529
0.020000,7.521004,3.659582,8.365286,8.748814,-5.425911,4.940966,0.916572
0.020000,7.624360,3.798112,8.538124,8.641930,-5.344176,4.086762,0.942972
0.020000,7.722855,3.937566,8.708854,8.536487,-5.272168,3.600369,0.968692
0.020000,7.816620,4.077739,8.877497,8.432120,-5.218315,2.692675,0.993703
0.020000,7.905793,4.218430,9.044068,8.328583,-5.176870,2.072248,1.017981
0.020000,7.990518,4.359449,9.208581,8.225659,-5.146195,1.533757,1.041513
0.020000,8.070939,4.500608,9.371041,8.123002,-5.132869,0.666298,1.064289
0.020000,8.147204,4.641729,9.531452,8.020533,-5.123455,0.470690,1.086305
0.020000,8.219462,4.782643,9.689812,7.918002,-5.126533,-0.153881,1.107562
0.020000,8.287862,4.923186,9.846116,7.815208,-5.139689,-0.657800,1.128068
0.020000,8.352555,5.063206,10.000359,7.712126,-5.154088,-0.719983,1.147830
0.020000,8.413688,5.202557,10.152530,7.608549,-5.178882,-1.239705,1.166862
0.020000,8.471407,5.341104,10.302618,7.504421,-5.206401,-1.375903,1.185178
0.020000,8.525856,5.478715,10.450611,7.399626,-5.239725,-1.666230,1.202796
0.020000,8.577179,5.615273,10.596494,7.294186,-5.271989,-1.613198,1.219733
0.020000,8.625512,5.750663,10.740253,7.187921,-5.313260,-2.063545,1.236011
0.020000,8.670991,5.884780,10.881871,7.080895,-5.351305,-1.902231,1.251649
0.020000,8.713749,6.017527,11.021335,6.973198,-5.384861,-1.677824,1.266668
0.020000,8.753913,6.148812,11.158626,6.864541,-5.432864,-2.400157,1.281090
0.020000,8.791607,6.278551,11.293730,6.755203,-5.466904,-1.701984,1.294936
0.020000,8.826952,6.406666,11.426631,6.645067,-5.506776,-1.993597,1.308227
0.020000,8.860063,6.533083,11.557312,6.534063,-5.550215,-2.171958,1.320984
0.020000,8.891053,6.657737,11.685761,6.422416,-5.582319,-1.605207,1.333227
0.020000,8.920029,6.780563,11.811958,6.309872,-5.627198,-2.243953,1.344976
0.020000,8.947094,6.901506,11.935893,6.196739,-5.656647,-1.472432,1.356251
0.020000,8.972349,7.020512,12.057549,6.082791,-5.697438,-2.039539,1.367070
0.020000,8.995890,7.137533,12.176914,5.968247,-5.727186,-1.487408,1.377452
0.020000,9.017808,7.252523,12.293974,5.853018,-5.761460,-1.713695,1.387413
0.020000,9.038191,7.365442,12.408718,5.737199,-5.790935,-1.473781,1.396970
0.020000,9.057124,7.476251,12.521133,5.620745,-5.822706,-1.588532,1.406140
0.020000,9.074687,7.584916,12.631208,5.503771,-5.848680,-1.298720,1.414937
0.020000,9.090958,7.691403,12.738931,5.386159,-5.880635,-1.597742,1.423376
0.020000,9.106011,7.795686,12.844295,5.268174,-5.899247,-0.930577,1.431472
0.020000,9.119916,7.897733,12.947284,5.149475,-5.934937,-1.784530,1.439236
0.020000,9.132742,7.997521,13.047894,5.030486,-5.949441,-0.725191,1.446682
0.020000,9.144552,8.095028,13.146113,4.910947,-5.976959,-1.375878,1.453822
0.020000,9.155408,8.190231,13.241933,4.790996,-5.997538,-1.028986,1.460667
0.020000,9.165370,8.283113,13.335348,4.670764,-6.011615,-0.703840,1.467228
0.020000,9.174492,8.373655,13.426349,4.550024,-6.037010,-1.269734,1.473515
0.020000,9.182829,8.461840,13.514927,4.428902,-6.056065,-0.952765,1.479538
0.020000,9.190432,8.547655,13.601077,4.307536,-6.068323,-0.612866,1.485306
0.020000,9.197350,8.631083,13.684792,4.185715,-6.091048,-1.136270,1.490827
0.020000,9.203627,8.712113,13.766065,4.063664,-6.102547,-0.574929,1.496111
0.020000,9.209310,8.790736,13.844893,3.941385,-6.113966,-0.570981,1.501164
0.020000,9.214440,8.866939,13.921268,3.818770,-6.130751,-0.839235,1.505995
0.020000,9.219056,8.940711,13.995184,3.695803,-6.148341,-0.879532,1.510609
0.020000,9.223196,9.012045,14.066639,3.572722,-6.154052,-0.285503,1.515014
0.020000,9.226897,9.080932,14.135626,3.449346,-6.168768,-0.735822,1.519216
0.020000,9.230193,9.147364,14.202139,3.325678,-6.183412,-0.732219,1.523220
0.020000,9.233117,9.211339,14.266180,3.202052,-6.181299,0.105684,1.527033
0.020000,9.235698,9.272842,14.327738,3.077882,-6.208499,-1.360038,1.530660
0.020000,9.237967,9.331874,14.386814,2.953798,-6.204234,0.213271,1.534104
0.020000,9.239950,9.388429,14.443403,2.829460,-6.216867,-0.631650,1.537372
0.020000,9.241674,9.442500,14.497502,2.704939,-6.226060,-0.459659,1.540467
0.020000,9.243164,9.494085,14.549108,2.580302,-6.231863,-0.290155,1.543393
0.020000,9.244442,9.543179,14.598219,2.455564,-6.236870,-0.250338,1.546154
0.020000,9.245529,9.589776,14.644828,2.330461,-6.255190,-0.916021,1.548754
0.020000,9.246448,9.633877,14.688939,2.205525,-6.246803,0.419360,1.551196
0.020000,9.247216,9.675478,14.730547,2.080389,-6.256777,-0.498666,1.553483
0.020000,9.247851,9.714573,14.769647,1.955020,-6.268438,-0.583056,1.555618
0.020000,9.248370,9.751162,14.806240,1.829660,-6.267990,0.022410,1.557604
0.020000,9.248788,9.785242,14.840322,1.704100,-6.278040,-0.502511,1.559443
0.020000,9.249120,9.816812,14.871894,1.578579,-6.276049,0.099542,1.561137
0.020000,9.249378,9.845872,14.900955,1.453071,-6.275381,0.033389,1.562689
0.020000,9.249574,9.872415,14.927499,1.327176,-6.294773,-0.969591,1.564099
0.020000,9.249720,9.896444,14.951528,1.201485,-6.284535,0.511881,1.565371
0.020000,9.249824,9.917957,14.973042,1.075680,-6.290265,-0.286508,1.566506
0.020000,9.249896,9.936953,14.992037,0.949776,-6.295176,-0.245544,1.567504
0.020000,9.249944,9.953429,15.008514,0.823831,-6.297244,-0.103371,1.568368
0.020000,9.249972,9.967387,15.022472,0.697901,-6.296485,0.037955,1.569098
0.020000,9.249988,9.978826,15.033911,0.571946,-6.297751,-0.063338,1.569694
0.020000,9.249996,9.987742,15.042827,0.445796,-6.307513,-0.488094,1.570159
0.020000,9.249999,9.994139,15.049224,0.319828,-6.298394,0.455949,1.570492
0.020000,9.250000,9.998015,15.053100,0.193817,-6.300582,-0.109360,1.570693
0.020000,9.250000,9.999661,15.054746,0.082322,-5.574724,36.292888,1.570779
0.020000,9.250000,10.000000,15.055085,0.016931,-3.269554,115.258500,1.570796
0.020000,9.250000,10.000000,15.055085,0.000000,-0.846555,121.149944,1.570796
